User,text,Date
@socialmedia2day,@mcghawsmcs @JetteAnni I LOVE that! So excited to have you here with us today 😍 - Jette #SMTLive,Tue Jul 06 16:05:33 +0000 2021
@socialmedia2day,@mdehne34 @JetteAnni So true! It's like they have a GIF for everything! #SMTLive,Tue Jul 06 16:04:55 +0000 2021
@socialmedia2day,"Are you around today?👀😊It feels like it's been forever!
@mdehne34
 
@pavelStepanov77

@inkandcopy
 
@twohourdigital… https://t.co/KCKmKZul8q",Tue Jul 06 16:04:26 +0000 2021
@socialmedia2day,"Welcome, welcome! As we start our #SMTLive, let us know where you are joining us from and what TV show makes the be… https://t.co/J8T35qjDak",Tue Jul 06 16:01:13 +0000 2021
@socialmedia2day,"Hey, it's Jette at SMT - I've prepared a special chat today to help everyone connect and have a relaxed time. 

Tag… https://t.co/yRud4y88pd",Tue Jul 06 15:37:10 +0000 2021
@socialmedia2day,"@mdehne34 We love your insight, Maria! Will you be joining us today? :)",Tue Jul 06 15:24:22 +0000 2021
@socialmedia2day,"Facebook gives 4 action steps that will aid them to build a greener Europe.

https://t.co/8CZNo9ZjF8",Tue Jul 06 15:15:08 +0000 2021
@socialmedia2day,"Hello friends! Today's chat will be a little different - it will be all about you.

Come and connect with other soc… https://t.co/9JY5Fz6xMs",Tue Jul 06 14:59:16 +0000 2021
@socialmedia2day,Great info from our friends at @BuzzSumo https://t.co/VMQndJ44wP,Tue Jul 06 14:30:13 +0000 2021
@socialmedia2day,Facebook continues to evolve its ad tools in line with Apple's app tracking updates https://t.co/I4HRU4BYxC,Tue Jul 06 13:30:12 +0000 2021
@socialmedia2day,This is an important area of focus https://t.co/pyhpW9Gx4K,Tue Jul 06 12:45:03 +0000 2021
@socialmedia2day,Would threads work on Facebook? https://t.co/Lggxa8Mxv4,Tue Jul 06 12:15:03 +0000 2021
@socialmedia2day,Would this be a good addition for Twitter? https://t.co/IrWT3wNyU4,Tue Jul 06 11:30:10 +0000 2021
@socialmedia2day,IG on desktop is now almost in parity with the mobile app https://t.co/AvGMZ54X9H,Tue Jul 06 10:30:07 +0000 2021
@socialmedia2day,A rising focus on the power of digital platforms could lead to major change https://t.co/2LGTq7FLz2,Tue Jul 06 09:30:07 +0000 2021
@socialmedia2day,Social proof can help boost your eCommerce performance https://t.co/uA69yriOtb,Tue Jul 06 08:40:01 +0000 2021
@socialmedia2day,Note: LinkedIn engagement is way up https://t.co/UlW4Ze441z,Tue Jul 06 07:30:04 +0000 2021
@socialmedia2day,Need some #content inspiration? https://t.co/RUlmiDaN0g,Tue Jul 06 06:30:03 +0000 2021
@socialmedia2day,Looking to add TikTok into your #digitalmarketing mix? https://t.co/zWH1jGGZfR,Tue Jul 06 05:30:02 +0000 2021
